
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
Saku saku||951||951||1||1||0.0010515247108307045||0.0010515247108307045
北海道日本ハムファイターズ||950||950||1||1||0.0010526315789473684||0.0010526315789473684
タモリ||944||944||6||6||0.006355932203389831||0.006355932203389831
夜のヒットスタジオ||942||942||0||0||0.0||0.0
脳内エステ IQサプリ||941||941||1||1||0.0010626992561105207||0.0010626992561105207
ミュージシャン一覧 (グループ)||938||938||0||0||0.0||0.0
織田信長||938||938||10||10||0.010660980810234541||0.010660980810234541
スーパーベースボール (テレビ朝日系列)||936||936||0||0||0.0||0.0
西日本旅客鉄道||934||934||4||4||0.004282655246252677||0.004282655246252677
松本市||933||933||2||2||0.0021436227224008574||0.0021436227224008574
MAJOR||930||930||0||0||0.0||0.0
仮面ライダー響鬼||930||930||3||3||0.0032258064516129032||0.0032258064516129032
福岡ソフトバンクホークス||928||928||5||5||0.005387931034482759||0.005387931034482759
ザ・キング・オブ・ファイターズ||927||927||1||1||0.0010787486515641855||0.0010787486515641855
児童性的虐待||927||927||2||2||0.002157497303128371||0.002157497303128371
Wii/history 20130210||924||924||11||11||0.011904761904761904||0.011904761904761904
日本一の一覧||922||922||2||2||0.0021691973969631237||0.0021691973969631237
日本の漫画作品一覧||920||920||3||3||0.003260869565217391||0.003260869565217391
桃太郎電鉄シリーズ||919||919||1||1||0.001088139281828074||0.001088139281828074
日本テレビ制作局制作番組の分野別一覧||919||919||0||0||0.0||0.0
ARIA (漫画)||917||917||8||8||0.008724100327153763||0.008724100327153763
名探偵コナンの登場人物/history20180113||915||915||10||10||0.01092896174863388||0.01092896174863388
2004年||913||913||7||7||0.007667031763417305||0.007667031763417305
ツバサ-RESERVoir CHRoNiCLE-||911||911||5||5||0.005488474204171241||0.005488474204171241
松浦亜弥||909||909||5||5||0.005500550055005501||0.005500550055005501
機動警察パトレイバー||907||907||1||1||0.0011025358324145535||0.0011025358324145535
コロンビア大学||900||900||0||0||0.0||0.0
SoftBank (携帯電話)||899||899||5||5||0.0055617352614015575||0.0055617352614015575
大阪府出身の人物一覧||899||899||1||1||0.0011123470522803114||0.0011123470522803114
D.C. 〜ダ・カーポ〜||899||899||7||7||0.00778642936596218||0.00778642936596218
レイザーラモンHG||899||899||5||5||0.0055617352614015575||0.0055617352614015575
日本プロ野球||897||897||1||1||0.0011148272017837235||0.0011148272017837235
ドラえもんの登場人物一覧||897||897||2||2||0.002229654403567447||0.002229654403567447
太田市||896||896||0||0||0.0||0.0
仮面ライダー剣||894||894||2||2||0.0022371364653243847||0.0022371364653243847
広島テレビ放送||892||892||0||0||0.0||0.0
愛知県出身の人物一覧||892||892||1||1||0.0011210762331838565||0.0011210762331838565
遊☆戯☆王デュエルモンスターズGXの登場人物||885||885||1||1||0.0011299435028248588||0.0011299435028248588
ムヒョとロージーの魔法律相談事務所||884||884||4||4||0.004524886877828055||0.004524886877828055
小泉純一郎||878||878||19||19||0.02164009111617312||0.02164009111617312
エア・ギア||876||876||2||2||0.00228310502283105||0.00228310502283105
草なぎ剛||875||875||5||5||0.005714285714285714||0.005714285714285714
井上聡||871||871||0||0||0.0||0.0
オールスター感謝祭/history20190417||869||869||3||3||0.0034522439585730723||0.0034522439585730723
パネルクイズ アタック25||868||868||3||3||0.0034562211981566822||0.0034562211981566822
ロックマンエグゼ (アニメ)||867||867||3||3||0.0034602076124567475||0.0034602076124567475
かっとばせ!キヨハラくん||867||867||0||0||0.0||0.0
忍たま乱太郎||866||866||1||1||0.0011547344110854503||0.0011547344110854503
ディープインパクト (競走馬)||866||866||5||5||0.005773672055427252||0.005773672055427252
嫌韓||864||864||27||27||0.03125||0.03125
GTO (漫画)||861||861||2||2||0.0023228803716608595||0.0023228803716608595
手塚治虫||860||860||4||4||0.004651162790697674||0.004651162790697674
北海道出身の人物一覧||860||860||0||0||0.0||0.0
SMAP×SMAP||859||859||1||1||0.0011641443538998836||0.0011641443538998836
日本三大一覧||859||859||9||9||0.010477299185098952||0.010477299185098952
名古屋鉄道||855||855||4||4||0.004678362573099415||0.004678362573099415
